[2025-11-09T14:42:27.743Z] [INFO] 🚀 Starting Apple Documentation Crawler
[2025-11-09T14:43:27.699Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/apptrackingtransparency/documentation_apptrackingtransparency.pdf
[2025-11-09T14:43:27.706Z] [INFO] 📄 [28/5000] depth=1 [appkit] https://developer.apple.com/documentation/AppKit
[2025-11-09T14:43:29.769Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/appkit/documentation_appkit.pdf
[2025-11-09T14:43:29.777Z] [INFO] 📄 [29/5000] depth=1 [apple_ads] https://developer.apple.com/documentation/apple_ads
[2025-11-09T14:43:31.778Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/apple_ads/documentation_apple_ads.pdf
[2025-11-09T14:43:31.787Z] [INFO] 📄 [30/5000] depth=1 [applearchive] https://developer.apple.com/documentation/AppleArchive
[2025-11-09T14:43:33.508Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/applearchive/documentation_applearchive.pdf
[2025-11-09T14:43:33.516Z] [INFO] 📄 [31/5000] depth=1 [cryptokit] https://developer.apple.com/documentation/CryptoKit
[2025-11-09T14:43:35.536Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/cryptokit/documentation_cryptokit.pdf
[2025-11-09T14:43:35.544Z] [INFO] 📄 [32/5000] depth=1 [applemapsserverapi] https://developer.apple.com/documentation/AppleMapsServerAPI
[2025-11-09T14:43:37.992Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/applemapsserverapi/documentation_applemapsserverapi.pdf
[2025-11-09T14:43:37.999Z] [INFO] 📄 [33/5000] depth=1 [applemusicapi] https://developer.apple.com/documentation/AppleMusicAPI
[2025-11-09T14:43:40.035Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/applemusicapi/documentation_applemusicapi.pdf
[2025-11-09T14:43:40.042Z] [INFO] 📄 [34/5000] depth=1 [applemusicfeed] https://developer.apple.com/documentation/AppleMusicFeed
[2025-11-09T14:43:41.857Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/applemusicfeed/documentation_applemusicfeed.pdf
[2025-11-09T14:43:41.863Z] [INFO] 📄 [35/5000] depth=1 [applenews] https://developer.apple.com/documentation/AppleNews
[2025-11-09T14:43:43.597Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/applenews/documentation_applenews.pdf
[2025-11-09T14:43:43.605Z] [INFO] 📄 [36/5000] depth=1 [merchanttokennotificationservices] https://developer.apple.com/documentation/MerchantTokenNotificationServices
[2025-11-09T14:43:45.266Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/merchanttokennotificationservices/documentation_merchanttokennotificationservices.pdf
[2025-11-09T14:43:45.273Z] [INFO] 📄 [37/5000] depth=1 [applepaymerchanttokenusageinformation] https://developer.apple.com/documentation/ApplePayMerchantTokenUsageInformation
[2025-11-09T14:43:47.032Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/applepaymerchanttokenusageinformation/documentation_applepaymerchanttokenusageinformation.pdf
[2025-11-09T14:43:47.040Z] [INFO] 📄 [38/5000] depth=1 [applepayontheweb] https://developer.apple.com/documentation/ApplePayontheWeb
[2025-11-09T14:43:49.112Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/applepayontheweb/documentation_applepayontheweb.pdf
[2025-11-09T14:43:49.118Z] [INFO] 📄 [39/5000] depth=1 [applepaywebmerchantregistrationapi] https://developer.apple.com/documentation/ApplePayWebMerchantRegistrationAPI
[2025-11-09T14:43:51.088Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/applepaywebmerchantregistrationapi/documentation_applepaywebmerchantregistrationapi.pdf
[2025-11-09T14:43:51.094Z] [INFO] 📄 [40/5000] depth=1 [applepencil] https://developer.apple.com/documentation/ApplePencil
[2025-11-09T14:43:53.340Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/applepencil/documentation_applepencil.pdf
